id,group,task,env,method,seed,proposal_family,budget,engine,repo,config,spec
core__hopper__flat__s0,core,hopper,HopperHop,flat,0,,117964800,state,core,configs/core__hopper__flat__s0.yaml,
core__hopper__flat__s1,core,hopper,HopperHop,flat,1,,117964800,state,core,configs/core__hopper__flat__s1.yaml,
core__hopper__flat__s2,core,hopper,HopperHop,flat,2,,117964800,state,core,configs/core__hopper__flat__s2.yaml,
core__hopper__flat__s3,core,hopper,HopperHop,flat,3,,117964800,state,core,configs/core__hopper__flat__s3.yaml,
core__hopper__flat__s4,core,hopper,HopperHop,flat,4,,117964800,state,core,configs/core__hopper__flat__s4.yaml,
core__hopper__hpqn__s0,core,hopper,HopperHop,hpqn,0,,117964800,state,core,configs/core__hopper__hpqn__s0.yaml,
core__hopper__hpqn__s1,core,hopper,HopperHop,hpqn,1,,117964800,state,core,configs/core__hopper__hpqn__s1.yaml,
core__hopper__hpqn__s2,core,hopper,HopperHop,hpqn,2,,117964800,state,core,configs/core__hopper__hpqn__s2.yaml,
core__hopper__hpqn__s3,core,hopper,HopperHop,hpqn,3,,117964800,state,core,configs/core__hopper__hpqn__s3.yaml,
core__hopper__hpqn__s4,core,hopper,HopperHop,hpqn,4,,117964800,state,core,configs/core__hopper__hpqn__s4.yaml,
core__hopper__neural__s0,core,hopper,HopperHop,neural,0,,117964800,state,core,configs/core__hopper__neural__s0.yaml,
core__hopper__neural__s1,core,hopper,HopperHop,neural,1,,117964800,state,core,configs/core__hopper__neural__s1.yaml,
core__hopper__neural__s2,core,hopper,HopperHop,neural,2,,117964800,state,core,configs/core__hopper__neural__s2.yaml,
core__hopper__neural__s3,core,hopper,HopperHop,neural,3,,117964800,state,core,configs/core__hopper__neural__s3.yaml,
core__hopper__neural__s4,core,hopper,HopperHop,neural,4,,117964800,state,core,configs/core__hopper__neural__s4.yaml,
core__hopper__symbolic__s0,core,hopper,HopperHop,symbolic,0,,117964800,state,core,configs/core__hopper__symbolic__s0.yaml,
core__hopper__symbolic__s1,core,hopper,HopperHop,symbolic,1,,117964800,state,core,configs/core__hopper__symbolic__s1.yaml,
core__hopper__symbolic__s2,core,hopper,HopperHop,symbolic,2,,117964800,state,core,configs/core__hopper__symbolic__s2.yaml,
core__hopper__symbolic__s3,core,hopper,HopperHop,symbolic,3,,117964800,state,core,configs/core__hopper__symbolic__s3.yaml,
core__hopper__symbolic__s4,core,hopper,HopperHop,symbolic,4,,117964800,state,core,configs/core__hopper__symbolic__s4.yaml,
core__hopper__nesy__s0,core,hopper,HopperHop,nesy,0,,117964800,state,core,configs/core__hopper__nesy__s0.yaml,
core__hopper__nesy__s1,core,hopper,HopperHop,nesy,1,,117964800,state,core,configs/core__hopper__nesy__s1.yaml,
core__hopper__nesy__s2,core,hopper,HopperHop,nesy,2,,117964800,state,core,configs/core__hopper__nesy__s2.yaml,
core__hopper__nesy__s3,core,hopper,HopperHop,nesy,3,,117964800,state,core,configs/core__hopper__nesy__s3.yaml,
