id,group,task,method,seed,budget,assigned_profile,job_status,primary_reuse_status,deployment_status,required_gates
core__hopper__flat__s0,core,hopper,flat,0,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__flat__s1,core,hopper,flat,1,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__flat__s2,core,hopper,flat,2,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__flat__s3,core,hopper,flat,3,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__flat__s4,core,hopper,flat,4,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__hpqn__s0,core,hopper,hpqn,0,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__hpqn__s1,core,hopper,hpqn,1,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__hpqn__s2,core,hopper,hpqn,2,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__hpqn__s3,core,hopper,hpqn,3,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__hpqn__s4,core,hopper,hpqn,4,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__neural__s0,core,hopper,neural,0,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__neural__s1,core,hopper,neural,1,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__neural__s2,core,hopper,neural,2,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__neural__s3,core,hopper,neural,3,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__neural__s4,core,hopper,neural,4,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__symbolic__s0,core,hopper,symbolic,0,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__symbolic__s1,core,hopper,symbolic,1,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__symbolic__s2,core,hopper,symbolic,2,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__symbolic__s3,core,hopper,symbolic,3,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__symbolic__s4,core,hopper,symbolic,4,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__nesy__s0,core,hopper,nesy,0,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__nesy__s1,core,hopper,nesy,1,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__nesy__s2,core,hopper,nesy,2,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__nesy__s3,core,hopper,nesy,3,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__nesy__s4,core,hopper,nesy,4,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__ppo__s0,core,hopper,ppo,0,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__ppo__s1,core,hopper,ppo,1,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__ppo__s2,core,hopper,ppo,2,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__ppo__s3,core,hopper,ppo,3,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__hopper__ppo__s4,core,hopper,ppo,4,117964800,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
core__go1__flat__s0,core,go1,flat,0,32768000,wsl_core,planned_not_submitted,none_approved,installed; production release requires READY.json,verified source/runtime/checkpoints; per-row valid specification when applicable
