env,iteration,n_skills,env_reward_mean,skill_reward_mean,primary_success_rate,mask_violation_rate,refinement_ok,refinement_error
CartpoleBalance,0,3,0.1404670625925064,-0.3184433579444885,2.441406286379788e-05,0.0,True,
CartpoleBalance,1,3,0.36704081296920776,-0.45134180784225464,0.12505798041820526,0.0,True,
CartpoleBalance,2,4,0.26015159487724304,-0.9944872856140137,0.13599547743797302,0.0,True,
CartpoleBalance,3,5,0.31021109223365784,-0.3969038426876068,0.10763855278491974,0.0,True,
CheetahRun,0,3,0.7428790330886841,7.693272590637207,0.8460067510604858,0.0,True,
CheetahRun,1,3,0.7518514394760132,7.779341220855713,0.8773940801620483,0.0,True,
CheetahRun,2,4,0.8055046200752258,6.237762451171875,0.8898269534111023,0.0,True,
CheetahRun,3,5,0.8492482900619507,5.253719329833984,0.9290832281112671,0.0,True,
Go1JoystickFlatTerrain,0,3,0.0062332614324986935,0.14253051578998566,0.2973342835903168,0.0,True,
Go1JoystickFlatTerrain,1,4,4.1654811866465025e-07,0.6663881540298462,0.011119079776108265,0.0,True,
Go1JoystickFlatTerrain,2,4,1.1241450920351781e-05,0.6639788746833801,0.011616515927016735,0.0,True,
Go1JoystickFlatTerrain,3,5,5.871008397662081e-06,0.5681721568107605,0.01729888841509819,0.0,True,
HopperHop,0,3,0.0,-0.12993791699409485,0.0,0.0,True,
HopperHop,1,4,0.0,-0.4019125998020172,0.0,0.0,True,
HopperHop,2,5,0.0,-0.45502084493637085,0.0,0.0,True,
HopperHop,3,5,0.0,-0.45502084493637085,0.0,0.0,True,
WalkerWalk,0,3,0.6374319791793823,4.399273872375488,0.6761566400527954,0.0,True,
WalkerWalk,1,4,0.44417405128479004,1.0546751022338867,0.4805664122104645,0.0,True,
WalkerWalk,2,5,0.5769139528274536,0.7418182492256165,0.5443207025527954,0.0,True,
WalkerWalk,3,5,0.4070952832698822,0.6028055548667908,0.36343079805374146,0.0,True,
