env,skill,mean_usage_fraction
CartpoleBalance,2_damp_motion,0.7381
CartpoleBalance,1_center_cart,0.1484
CartpoleBalance,0_recover_balance,0.1134
CheetahRun,2_energy_efficient_run,0.6018
CheetahRun,0_accelerate_forward,0.3544
CheetahRun,1_stabilize_posture,0.0439
Go1JoystickFlatTerrain,0_stand,0.3588
Go1JoystickFlatTerrain,3_recover,0.2798
Go1JoystickFlatTerrain,1_track_velocity,0.2016
Go1JoystickFlatTerrain,2_turn,0.1597
HopperHop,3_energy_efficient,0.3727
HopperHop,1_hop_forward,0.2911
HopperHop,0_stand_recover,0.1927
HopperHop,2_stabilize_landing,0.1436
WalkerWalk,3_energy_efficient,0.8244
WalkerWalk,0_stand_recover,0.1201
WalkerWalk,2_stabilize_gait,0.0555
WalkerWalk,1_walk_forward,0.0
